STATION,NAME,DATE,PRCP,SNWD,TMAX,WSF2,WSF5,SNOW,AWND,TAVG,TMIN
USW00013722,"RALEIGH AIRPORT, NC US",1/1/2014,0,0,51,8.9,13,0,2.46,38,29
USW00013722,"RALEIGH AIRPORT, NC US",1/2/2014,0.33,0,49,13,21.9,0,2.68,42,37
USW00013722,"RALEIGH AIRPORT, NC US",1/3/2014,0,0,43,21.9,32,0,7.38,34,22
USW00013722,"RALEIGH AIRPORT, NC US",1/4/2014,0,0,38,8.1,13,0,2.24,27,19
USW00013722,"RALEIGH AIRPORT, NC US",1/5/2014,0,0,62,16.1,21,0,4.92,44,37
USW00013722,"RALEIGH AIRPORT, NC US",1/6/2014,0.13,0,61,30,38.9,0,13.65,51,16
USW00013722,"RALEIGH AIRPORT, NC US",1/7/2014,0,0,25,16.1,25.1,0,7.61,18,9
USW00013722,"RALEIGH AIRPORT, NC US",1/8/2014,0,0,43,10.1,13,0,2.91,25,15
USW00013722,"RALEIGH AIRPORT, NC US",1/9/2014,0,0,54,8.9,14.1,0,2.46,36,25
USW00013722,"RALEIGH AIRPORT, NC US",1/10/2014,0.57,0,45,10.1,14.1,0,3.58,42,39
USW00013722,"RALEIGH AIRPORT, NC US",1/11/2014,0.28,0,69,59.9,86.1,0,10.29,54,45
USW00013722,"RALEIGH AIRPORT, NC US",1/12/2014,0,0,58,16.1,25.1,0,5.82,52,39
USW00013722,"RALEIGH AIRPORT, NC US",1/13/2014,0,0,62,21,25.9,0,7.16,46,33
USW00013722,"RALEIGH AIRPORT, NC US",1/14/2014,0.3,0,54,12.1,16.1,0,2.91,51,38
USW00013722,"RALEIGH AIRPORT, NC US",1/15/2014,0,0,59,17,23.9,0,4.47,44,33
USW00013722,"RALEIGH AIRPORT, NC US",1/16/2014,0.07,0,44,12.1,17,0,3.8,39,32
USW00013722,"RALEIGH AIRPORT, NC US",1/17/2014,0,0,56,21,25.1,0,9.17,39,29
USW00013722,"RALEIGH AIRPORT, NC US",1/18/2014,0,0,47,17,23.9,0,6.71,38,27
USW00013722,"RALEIGH AIRPORT, NC US",1/19/2014,0,0,54,17,25.9,0,8.5,38,30
USW00013722,"RALEIGH AIRPORT, NC US",1/20/2014,0,0,64,18.1,23.9,0,8.05,43,30
USW00013722,"RALEIGH AIRPORT, NC US",1/21/2014,0.1,0,51,17,28,0.5,4.92,42,26
USW00013722,"RALEIGH AIRPORT, NC US",1/22/2014,0,0,30,13,19.9,0,4.47,26,18
USW00013722,"RALEIGH AIRPORT, NC US",1/23/2014,0,0,38,15,21.9,0,4.7,25,16
USW00013722,"RALEIGH AIRPORT, NC US",1/24/2014,0,0,27,14.1,23,0,6.26,20,11
USW00013722,"RALEIGH AIRPORT, NC US",1/25/2014,0,0,40,25.1,33.1,0,15.21,26,18
